id,ano,municipio,codigo_postal,total_fugas,tipo_de_fuga,fecha
1243,2021,Algimia de Almonacid,12414,1,Acometida,12/5/2021
1244,2021,Alfondeguilla,12609,1,Acometida,13/5/2021
1245,2021,Alfondeguilla,12609,1,Tubería general,13/5/2021
1246,2021,Ballestar (Pobla de Benifassà),12599,1,Acometida,18/5/2021
1247,2021,Ballestar (Pobla de Benifassà),12599,1,Tubería general,18/5/2021
1249,2021,Alfondeguilla,12609,1,Acometida,24/5/2021
1256,2021,Vistabella del Maestrat,12135,1,Acometida,2/6/2021
1257,2021,Caudiel,12440,1,No se detectaron fugas,3/6/2021
1260,2021,Alfondeguilla,12609,1,Tubería general,9/6/2021
1264,2021,Alcudia de Veo,12222,1,No se detectaron fugas,15/6/2021
1268,2021,Alquerías (Montanejos),12448,1,Acometida,17/6/2021
1271,2021,Pobla de Benifassà,12599,1,Llave de paso de la acometida,22/6/2021
1272,2021,Benafigos,12134,1,Tubería general,23/6/2021
1275,2021,Montanejos,12448,1,No se detectaron fugas,1/7/2021
1277,2021,Castillo de Villamalefa,12123,1,Acometida,6/7/2021
1278,2021,Costur,12119,1,Acometida,6/7/2021
1280,2021,Aín,12222,1,Acometida,8/7/2021
1290,2021,Soneja,12480,1,Tubería general,15/7/2021
1295,2021,Pavías,12449,1,Acometida,19/7/2021
1296,2021,Pobla de Benifassà,12599,1,Acometida,20/7/2021
1303,2021,Soneja,12480,1,Acometida,26/7/2021
1306,2021,Pobla de Benifassà,12599,1,Boca de Riego,29/7/2021
1310,2021,Algimia de Almonacid,12414,1,Boca de Riego,3/8/2021
1312,2021,Palanques,12311,1,Tubería general,4/8/2021
1315,2021,Eslida,12528,1,Acometida,9/8/2021
1317,2021,Pobla de Benifassà,12599,1,Tubería general,10/8/2021
1318,2021,Zorita del Maestrazgo,12006,1,Tubería general,11/8/2021
1319,2021,Eslida,12528,1,No se detectaron fugas,12/8/2021
1323,2021,Vall de Almonacid,12414,1,No se detectaron fugas,19/8/2021
1324,2021,Pavías,12449,1,No se detectaron fugas,26/8/2021
1326,2021,Vallibona,12315,1,No se detectaron fugas,1/9/2021
1333,2021,Costur,12119,1,Interior vivienda,8/9/2021
1342,2021,Alfondeguilla,12609,1,Acometida,4/10/2021
1350,2021,Jérica,12450,1,Tubería general,7/10/2021
1357,2021,Caudiel,12440,1,Acometida,26/10/2021
1358,2021,Caudiel,12440,1,Acometida,26/10/2021
1363,2021,Mas d'Avall,12119,1,No se detectaron fugas,3/11/2021
1365,2021,Los Calpes (Puebla de Arenoso),12428,1,Acometida,8/11/2021
1370,2021,La Torre d'En Besora,12161,1,Acometida,16/11/2021
1371,2021,La Torre d'En Besora,12161,1,Tubería general,16/11/2021
1378,2021,Eslida,12528,1,Tubería general,23/11/2021
1384,2021,Alcúdia de Veo,12222,1,Tubería general,9/12/2021
1386,2021,Alfondeguilla,12609,1,Acometida,14/12/2021
1387,2021,Sacañet,12469,1,Acometida,15/12/2021
1388,2021,Castellfort,12159,1,Acometida,16/12/2021
1393,2021,Castellfort,12159,1,Tubería general,16/12/2021
1397,2021,Los Calpes (Puebla de Arenoso),12428,1,No se detectaron fugas,27/12/2021
1400,2021,Eslida,12528,1,Interior vivienda,29/12/2021
1401,2021,La Torre d'En Besora,12161,1,Tubería general,30/12/2021
